No,Project_name,Municipality,Sector,Currency,Budget,YearStart,YearEnd,Funding_Donor,Implementing_Partner,Status,SDG_Alignment,NSDP_Alignment,duration_years,project_status,budget_clean,unit_of_analysis,activity_group,beneficiary_data_available,budget_normalized,derived_status,level_areas
700,Construction of health center and schools,Manufahi,Construction,USD,472603.63,2025,2025.0,GovTL,GovTL,Ongoing - Active,4. Job & Social protection,2. Infrastructure Development,,,47260363.0,Activity record,,False,True,True,Municipality
149,Pacific Infrastructure Technical Assistance Fund (PITAF),Timor-Leste,Construction,USD,4020000.0,2023,2027.0,MFAT,Not identified,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,,40200000.0,Activity record,,False,True,True,National
152,Road Construction of the Gleno - Hatubelico,Timor-Leste,Construction,USD,7040000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,70400000.0,Activity record,,False,True,True,National
153,Road Construction of the Letefoho - Hatubuliko,Timor-Leste,Construction,USD,8500000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,85000000.0,Activity record,,False,True,True,National
160,Construction and Supervision of the Road Maubara - Karimbala e Atabae,Timor-Leste,Construction,USD,1000000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,10000000.0,Activity record,,False,True,True,National
161,Construction of the Road Venilale - Viqueque,Timor-Leste,Construction,USD,4500000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,45000000.0,Activity record,,False,True,True,National
212,Construction of a dignified and public facility in the municipality of Viqueque,Viqueque,Construction,USD,4380.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,43800.0,Activity record,,False,True,True,Municipality
619,Rehabilitation of Municipal Residence of Viqueque Administrator - Viqueque Vila; PDIM,Viqueque,Construction,USD,472685.0,2023,2025.0,GovTL,GovTL,Completed,5. Job & Social Protection,1. Social Capital,,,4726850.0,Activity record,,False,True,True,Municipality
620,Construction of Medicine Warehouse - Viqueque Vila; PDIM,Viqueque,Construction,USD,144286.0,2023,2023.0,GovTL,GovTL,Completed,1. Transformation Food Systems,3. Economic Development,,,1442860.0,Activity record,,False,True,True,Municipality
621,New Construction of Ossu Administrative Post Building and Surrounding Walls - Ossu; PDIM,Viqueque,Construction,USD,242358.0,2023,2023.0,GovTL,GovTL,Completed,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,2423580.0,Activity record,,False,True,True,Municipality
622,"New Construction EBF Cailaquebabo - Kai Ua, Lacluta; PDIM",Viqueque,Construction,USD,109908.0,2023,2024.0,GovTL,GovTL,Completed,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,1099080.0,Activity record,,False,True,True,Municipality
666,Road Rehabilitation - Ahic Desiloe - Laline Raikuak - PDIM,Viqueque,Construction,USD,301007.0,2024,2025.0,"Gov of Japan, Gov TL, UNDP",GovTL,Ongoing - Active,1. Transformation Food Systems,2 infrastructure development,,,3010070.0,Activity record,,False,True,True,Municipality
300,Municipal Services for Market Management and Tourism,Aileu,Economic development,USD,64050.0,2025,,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,,640500.0,Activity record,,False,True,True,Municipality
326,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Aileu,Economic development,USD,62050.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,,620500.0,Activity record,,False,True,True,Municipality
341,Support and promotion of local products and craft activities; Metrological control and measurement instruments,Ainaro,Economic development,USD,67830.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,678300.0,Activity record,,False,True,True,Municipality
369,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Baucau,Economic development,USD,2650.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,26500.0,Activity record,,False,True,True,Municipality
385,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Bobonaro,Economic development,USD,28439.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,284390.0,Activity record,,False,True,True,Municipality
404,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Covalima,Economic development,USD,11682.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,116820.0,Activity record,,False,True,True,Municipality
429,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Dili,Economic development,USD,648459.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,6484590.0,Activity record,,False,True,True,Municipality
449,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Ermera,Economic development,USD,35261.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,352610.0,Activity record,,False,True,True,Municipality
486,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Liquica,Economic development,USD,1565.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,15650.0,Activity record,,False,True,True,Municipality
503,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Manatuto,Economic development,USD,19000.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,190000.0,Activity record,,False,True,True,Municipality
58,Oecusse Sustainable Development SAR and ZEESM Project,Oecusse,Economic development,USD,2921674.0,2023,2025.0,"Gov TL, Oecusse, ZEESM TL",UNDP,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,29216740.0,Activity record,,False,True,True,Municipality
567,"Development, Strengthening of Areas with Special Administration - Financing of Multiannual Social, Economic projects in the REAOA; Modernize Supply Chain",Oecusse,Economic development,USD,7851182.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,78511820.0,Activity record,,False,True,True,Municipality
570,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Oecusse,Economic development,USD,189497.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,1894970.0,Activity record,,False,True,True,Municipality
24,HAKBIIT Feto Project,Timor-Leste,Economic development,USD,962000.0,2024,2025.0,EU,ADRA,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,9620000.0,Activity record,,False,True,True,National
114,Skills and Employment Opportunities,Timor-Leste,Economic development,USD,2639000.0,2024,2028.0,DFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,,26390000.0,Activity record,,False,True,True,National
250,Agroforestry Skills for Employment and Resilience project in Timor-Leste,Timor-Leste,Economic development,USD,6492600.0,2023,2027.0,EU,ILO,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,64926000.0,Activity record,,False,True,True,National
264,Support to Regional Integration and Trade,Timor-Leste,Economic development,USD,3246300.0,2023,2026.0,EU,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,32463000.0,Activity record,,False,True,True,National
270,POWER - Promotion of Women through Economic Empowerment and Rights,Timor-Leste,Economic development,USD,1807000.0,2023,2026.0,EU,"WV TL, FEEO, FOKUPERS,  WV Australia ",Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,18070000.0,Activity record,,False,True,True,National
272,PROCULTURA - Promotion of Employment in Income Generating Activities in the Cultural Sector in the PALOP-TL countries,Timor-Leste,Economic development,USD,21282000.0,2023,2025.0,EU,Instituto Camoes,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,212820000.0,Activity record,,False,True,True,National
689,"Youth Economic Empowerment (Aileu, Ainaro and Dili)",Timor-Leste,Economic development,USD,320000.0,2023,2030.0,PLAN International,PLAN International,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,3200000.0,Activity record,,False,True,True,National
546,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Viqueque,Economic development,USD,4900.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,49000.0,Activity record,,False,True,True,Municipality
296,Municipal Education Services,Aileu,Education,USD,1722476.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,17224760.0,Activity record,,False,True,True,Municipality
320,Pre-School Education (School lunch and Management of Pre-School Education Policy),Aileu,Education,USD,118335.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,1. Social Capital,,,1183350.0,Activity record,,False,True,True,Municipality
321,Basic Education (School Lunch Program),Aileu,Education,USD,1604041.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,16040410.0,Activity record,,False,True,True,Municipality
333,Pre-School Education (School lunch and Management of Pre-School Education Policy),Ainaro,Education,USD,302823.0,2025,,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,3028230.0,Activity record,,False,True,True,Municipality
334,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Ainaro,Education,USD,1911730.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,19117300.0,Activity record,,False,True,True,Municipality
335,Recurrent Education - Strengthening Community learning Centers,Ainaro,Education,USD,25392.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,253920.0,Activity record,,False,True,True,Municipality
216,School Meal Program,Baucau,Education,USD,121271.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,1212710.0,Activity record,,False,True,True,Municipality
219,Policies Management in Pre-School Education,Baucau,Education,USD,14385.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,143850.0,Activity record,,False,True,True,Municipality
363,Pre-School Education (School lunch and Management of Pre-School Education Policy),Baucau,Education,USD,135656.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,1356560.0,Activity record,,False,True,True,Municipality
364,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Baucau,Education,USD,2911904.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,29119040.0,Activity record,,False,True,True,Municipality
217,School Meal Program,Bobonaro,Education,USD,121271.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,1212710.0,Activity record,,False,True,True,Municipality
376,Pre-School Education (School lunch and Management of Pre-School Education Policy),Bobonaro,Education,USD,519356.0,2025,,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,5193560.0,Activity record,,False,True,True,Municipality
377,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Bobonaro,Education,USD,2074841.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,20748410.0,Activity record,,False,True,True,Municipality
378,Recurrent Education - Strengthening Community learning Centers,Bobonaro,Education,USD,19271.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,192710.0,Activity record,,False,True,True,Municipality
204,Construction of the New Education Building in Suai,Covalima,Education,USD,20505.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,205050.0,Activity record,,False,True,True,Municipality
397,Pre-School Education (School lunch and Management of Pre-School Education Policy),Covalima,Education,USD,315245.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,3152450.0,Activity record,,False,True,True,Municipality
398,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Covalima,Education,USD,1685201.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,16852010.0,Activity record,,False,True,True,Municipality
399,Recurrent Education - Strengthening Community learning Centers,Covalima,Education,USD,1000.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,10000.0,Activity record,,False,True,True,Municipality
203,Rehabilitation and construction of Balibar School,Dili,Education,USD,17880.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,178800.0,Activity record,,False,True,True,Municipality
422,Pre-School Education (School lunch and Management of Pre-School Education Policy,Dili,Education,USD,560794.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,5607940.0,Activity record,,False,True,True,Municipality
423,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Dili,Education,USD,6630415.0,2025,,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,66304150.0,Activity record,,False,True,True,Municipality
424,Recurrent Education - Strengthening Community learning Centers,Dili,Education,USD,63830.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,638300.0,Activity record,,False,True,True,Municipality
222,Implementation of the Teaching and Learning Process at Basic Education Level,Ermera,Education,USD,740300.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,7403000.0,Activity record,,False,True,True,Municipality
223,Provision of School Meals at Primary Education Level,Ermera,Education,USD,2942480.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,29424800.0,Activity record,,False,True,True,Municipality
225,Policies Management in Pre-School Education,Ermera,Education,USD,19445.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,194450.0,Activity record,,False,True,True,Municipality
226,School Meal Program,Ermera,Education,USD,154504.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1545040.0,Activity record,,False,True,True,Municipality
434,Municipal Education Services,Ermera,Education,USD,4140182.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,41401820.0,Activity record,,False,True,True,Municipality
442,Pre-School Education - Provision of school meals at pre-school level; Implementation of school subsidies at preschool level,Ermera,Education,USD,185013.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1850130.0,Activity record,,False,True,True,Municipality
443,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Ermera,Education,USD,3939969.0,2025,,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,,39399690.0,Activity record,,False,True,True,Municipality
444,Recurrent Education - Strengthening Community learning Centers,Ermera,Education,USD,15200.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,152000.0,Activity record,,False,True,True,Municipality
463,Pre-School Education - Provision of school meals at pre-school level; Implementation of school subsidies at preschool level; Management of Policies,Lautem,Education,USD,262107.0,2025,,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,,2621070.0,Activity record,,False,True,True,Municipality
464,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Lautem,Education,USD,2067776.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,20677760.0,Activity record,,False,True,True,Municipality
465,Primary Health Care - Management of Health Personnel; Logistical support to health delivery activities; Health care facilities and residences of personnel,Lautem,Education,USD,295314.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,2953140.0,Activity record,,False,True,True,Municipality
527,Tradition research conservation of “Meci” in Timor-Leste as Intangible Cultural Heritage (ICH)-(mentoring of the finalists on videography and storytelling),Lautem,Education,USD,11000.0,2022,2024.0,UNESCO,UNESCO,Completed,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,110000.0,Activity record,,False,True,True,Municipality
205,Construction of the New Education Building in Liquica,Liquica,Education,USD,275256.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,2752560.0,Activity record,,False,True,True,Municipality
479,Pre-School Education - Provision of school meals at preschool level; Implementation of school subsidies at preschool level,Liquica,Education,USD,148429.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,1484290.0,Activity record,,False,True,True,Municipality
480,"Basic Education -School meals at elementary school; Management of staff; Logistical support school activities; Effectiveness of teaching, learning process",Liquica,Education,USD,1729161.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,17291610.0,Activity record,,False,True,True,Municipality
481,Recurrent Education - Achieving adult literacy,Liquica,Education,USD,17680.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,176800.0,Activity record,,False,True,True,Municipality
202,Re-development of Natarbora secondary Technical- Vocational,Manatuto,Education,USD,150000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,1500000.0,Activity record,,False,True,True,Municipality
497,Pre-School Education - Implementation of the teaching and learning process at preschool; Provision of school meals at pre-school level,Manatuto,Education,USD,91801.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,918010.0,Activity record,,False,True,True,Municipality
498,Basic Education - Effective teaching and learning process at elementary school level; School meals at elementary school; Logistical support for teaching ,Manatuto,Education,USD,1002215.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,10022150.0,Activity record,,False,True,True,Municipality
218,School Meal Program,Manufahi,Education,USD,121271.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,1212710.0,Activity record,,False,True,True,Municipality
514,Pre-School Education - Provision of school meals at pre-school level; Implementation of school subsidies at preschool level,Manufahi,Education,USD,414020.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,4140200.0,Activity record,,False,True,True,Municipality
515,Basic Education - Logistical support for teaching and learning activities; School meals at the primary level;Effectiveness of the teaching and learning ,Manufahi,Education,USD,1224547.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,12245470.0,Activity record,,False,True,True,Municipality
560,Pre-School Education - Provision of school meals at pre-school level; Continuous training; Specialized training; Implementation of school subsidies,Oecusse,Education,USD,74540.0,2025,,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,4. Institutional Framework,,,745400.0,Activity record,,False,True,True,Municipality
561,Basic Education - School meals; Effectiveness of the teaching and learning process at the level of basic education; Implementation of school subsidies,Oecusse,Education,USD,1436608.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,14366080.0,Activity record,,False,True,True,Municipality
562,"Secondary Education - ESG school designs; ESTV School Conceptions; Coordination, Management of educational programs; Continuing training	",Oecusse,Education,USD,77100.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,771000.0,Activity record,,False,True,True,Municipality
563,Recurrent Education - Implementation of National Basic Education equivalency program; Implementation of Literacy and Community Learning Center CCA	,Oecusse,Education,USD,4000.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,40000.0,Activity record,,False,True,True,Municipality
34,Strengthening Sustainability of Social Sector Infrastructure,Timor-Leste,Education,USD,1600000.0,2024,,ADB,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,,16000000.0,Activity record,,False,True,True,National
40,Project Preparation I - Workforce and Skills Development Project,Timor-Leste,Education,USD,400000.0,2023,,ADB,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,,4000000.0,Activity record,,False,True,True,National
49,Basic Education Strengthening and Transformation Project,Timor-Leste,Education,USD,23550000.0,2023,2025.0,WB,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,,235500000.0,Activity record,,False,True,True,National
55,The Youth Employment and Entrepreneurship Skills (YEES) Project,Timor-Leste,Education,USD,6008585.0,2023,2027.0,"Gov TL, KOICA, UNDP",UNDP,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,60085850.0,Activity record,,False,True,True,National
115,Australia Awards Timor-Leste,Timor-Leste,Education,USD,4168000.0,2023,2026.0,DFAT,Not identified,Ongoing - Active,2. Energy Access & Affordability,1. Social Capital,,,41680000.0,Activity record,,False,True,True,National
122,ASEAN 2023 Trade Policy Short Course,Timor-Leste,Education,USD,89600.0,2023,2024.0,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,896000.0,Activity record,,False,True,True,National
124,ASEAN 2024 Public Sector Leadership (Mid Level Officials) Short Course,Timor-Leste,Education,USD,350000.0,2023,2024.0,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,,3500000.0,Activity record,,False,True,True,National
125,ASEAN 2024 Public Sector Leadership (Senior Level Officials) Short Course,Timor-Leste,Education,USD,299000.0,2023,2024.0,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,2990000.0,Activity record,,False,True,True,National
126,ASEAN 2024 Renewable Energy Short Course,Timor-Leste,Education,USD,556000.0,2023,2024.0,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,5560000.0,Activity record,,False,True,True,National
134,Early Childhood Education,Timor-Leste,Education,USD,9250000.0,2023,2026.0,MFAT,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,92500000.0,Activity record,,False,True,True,National
137,English Language Training for Officials Asia - Intake 57 - Education,Timor-Leste,Education,USD,642000.0,2023,2024.0,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,,6420000.0,Activity record,,False,True,True,National
139,Lafaek Learning Media,Timor-Leste,Education,USD,14662465.0,2023,2027.0,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,,146624650.0,Activity record,,False,True,True,National
140,Manage Scholarships Operations Phase 3 Future State Project,Timor-Leste,Education,USD,1380000.0,2024,2026.0,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,,13800000.0,Activity record,,False,True,True,National
182,Scholar Enrichment Events Tertiary Education Institutions 2024-2027 Triennium,Timor-Leste,Education,USD,36680.9,2024,2027.0,MFAT,New Zealand Gov,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,366809.0,Activity record,,False,True,True,National
184,Tertiary Education Institute Annual Workshop 2024-2027,Timor-Leste,Education,USD,34444.89,2024,2027.0,MFAT,New Zealand Gov,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,3444489.0,Activity record,,False,True,True,National
185,Tertiary Scholarships Selection 2025,Timor-Leste,Education,USD,406833.2,2025,2026.0,MFAT,New Zealand Gov,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,4068332.0,Activity record,,False,True,True,National
186,Timor-Leste 2023 Short Term Scholarships,Timor-Leste,Education,USD,22702.93,2023,2025.0,MFAT,New Zealand Gov,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,2270293.0,Activity record,,False,True,True,National
187,Timor-Leste 2023 Tertiary Scholarships,Timor-Leste,Education,USD,2322362.4,2023,2028.0,MFAT,New Zealand Gov,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,23223624.0,Activity record,,False,True,True,National
188,Timor-Leste 2024 Tertiary Scholarships,Timor-Leste,Education,USD,97738.53,2024,2031.0,MFAT,New Zealand Gov,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,9773853.0,Activity record,,False,True,True,National
189,Timor-Leste Individual Short Term Training Scholarships Allocations for 2024/25 - 2026/27 Triennium,Timor-Leste,Education,USD,370427.18,2024,2027.0,MFAT,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,37042718.0,Activity record,,False,True,True,National
291,Provide TA to national institutions working to enhance the quality and nutrition integration of school-based programs,Timor-Leste,Education,USD,5101103.0,2023,2025.0,"France, EU, ADB, KOICA",WFP,Ongoing - Active,4. Transforming Education,2. Infrastructure Development,,,51011030.0,Activity record,,False,True,True,National
521,History and Peace Education project,Timor-Leste,Education,USD,4279758.0,2023,2025.0,KOICA,UNESCO,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,42797580.0,Activity record,,False,True,True,National
522,Strengthening Science and Mathematic Primary Education in Timor-Leste,Timor-Leste,Education,USD,2048736.46,2023,2023.0,Japan Ambassy,UNESCO,Completed,1. Transformation Food Systems,1. Social Capital,,,204873646.0,Activity record,,False,True,True,National
529,UNESCO-VISUS Pilot Implementation in Timor-Leste,Timor-Leste,Education,USD,26000.0,2024,2025.0,UNESCO,UNESCO,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,260000.0,Activity record,,False,True,True,National
530,Enhance the role of the National Institute of Science and Technology for the Research Ethics Committee in Timor-Leste through national workshops and climate change activities,Timor-Leste,Education,USD,26000.0,2024,2025.0,UNESCO,UNESCO,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,260000.0,Activity record,,False,True,True,National
531,Empowering Education of Multilanguage (EMULI): Enhancing Mother Tongue- Based Multilingual Education in Timor- Leste through Knowledge Exchange and Collaboration,Timor-Leste,Education,USD,26000.0,2024,2025.0,UNESCO,UNESCO,Ongoing - Active,4. Transforming Education,1. Social Capital,,,260000.0,Activity record,,False,True,True,National
680,Basic Education Strengthening and Transformation Project,Timor-Leste,Education,USD,23550000.0,2023,2025.0,WB,,Ongoing - Active,4. Transforming Education,1. Social Capital,,,235500000.0,Activity record,,False,True,True,National
693,"Early Learning Stimulation and ECD in Aileu, Ainaro, Dili and other municipalities",Timor-Leste,Education,USD,59000.0,2023,2030.0,PLAN International,PLAN International,Ongoing - Active,4. Transforming Education,1. Social Capital,,,590000.0,Activity record,,False,True,True,National
540,Pre-School Education - Implementation of school subsidies at preschool level; Provision of school meals at pre-school level,Viqueque,Education,USD,507344.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,5073440.0,Activity record,,False,True,True,Municipality
541,Basic Education - Provision of school meals at the primary level; Effectiveness of the teaching and learning process at the level of basic education,Viqueque,Education,USD,1079501.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,10795010.0,Activity record,,False,True,True,Municipality
180,Implementation of the Tasi Mane Project,Covalima,Energy,USD,40500000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,405000000.0,Activity record,,False,True,True,Municipality
155,Electric Power Distribution Modernization Project,Dili,Energy,USD,147118.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,1471180.0,Activity record,,False,True,True,Municipality
30,Supporting Financial Sustainability and Energy Transition,Timor-Leste,Energy,USD,3800000.0,2024,,ADB,Not identified,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,,38000000.0,Activity record,,False,True,True,National
38,Accelerating Private Sector Development for Green and Inclusive Growth in Southeast Asia,Timor-Leste,Energy,USD,3800000.0,2023,,ADB,Not identified,Ongoing - Active,2. Energy Access & Affordability,3. Economic Development,,,38000000.0,Activity record,,False,True,True,National
54,Accelerating Clean Energy Access to Reduce Inequality (ACCESS),Timor-Leste,Energy,USD,18028509.0,2023,2023.0,KOICA,UNDP,Completed,5. Job & Social Protection,4. Institutional Framework,,,180285090.0,Activity record,,False,True,True,National
56,The Pacific Green Transformation Project,Timor-Leste,Energy,USD,5781240.0,2023,2025.0,Government of Japan,UNDP,Ongoing - Active,"6. Climate, Biodiversity & Pollution",3. Economic Development,,,57812400.0,Activity record,,False,True,True,National
